ID,class
RMDN2-203,hgnc_trans_name
HYDIN-211,hgnc_trans_name
ENSE00001506745,ensembl_exon_id
AID08379,protein_id
6Q0K,pdb
AMY15359,protein_id
UPI000002B437,uniparc
ENSE00003780457,ensembl_exon_id
NM_001198832,refseq_mrna
ENSE00001420661,ensembl_exon_id
ENSE00001048444,ensembl_exon_id
PF16050,pfam
NP_056280,refseq_peptide
ENSE00003668786,ensembl_exon_id
AAB03346,protein_id
ENSE00003758861,ensembl_exon_id
ASL05961,protein_id
ENSE00003610455,ensembl_exon_id
AGR43607,protein_id
HGNC:55089,hgnc_id
ENSE00002199547,ensembl_exon_id
uc286rlq.1,ucsc
AQU23942,protein_id
4ICX,pdb
A0A7P0T8N0,uniprotsptrembl
PLK2-205,hgnc_trans_name
ENSE00002095479,ensembl_exon_id
NP_001358257,refseq_peptide
QGW54137,protein_id
uc286mnm.1,ucsc
2LUX,pdb
BC015808,embl
ENSE00003902554,ensembl_exon_id
ENSE00002186071,ensembl_exon_id
ENSE00001520788,ensembl_exon_id
AHW38177,protein_id
HGNC:43289,hgnc_id
AK074586,embl
uc021wix.1,ucsc
CHEMBL2167,chembl
AFO29833,protein_id
ENSE00003791123,ensembl_exon_id
ENSE00002730641,ensembl_exon_id
AGZ09206,protein_id
BC026879,embl
NDUFAF7-208,hgnc_trans_name
GQ129175,embl
AQU13390,protein_id
BC018732,embl
ENSG00000235991,ensembl_gene_id
BC029451,embl
EHMT1-252,hgnc_trans_name
ENSE00002208733,ensembl_exon_id
ENSE00003965533,ensembl_exon_id
ACB28970,protein_id
BAH13287,protein_id
TNKS1BP1-206,hgnc_trans_name
QLH90360,protein_id
ENSE00001851063,ensembl_exon_id
UPI001089EDD0,uniparc
ENSE00001741725,ensembl_exon_id
ENSE00003749550,ensembl_exon_id
URS0000375C7E,rnacentral
AGZ06301,protein_id
URS0000D6DD3D,rnacentral
CAB66716,protein_id
JX303849,embl
ENSE00001888151,ensembl_exon_id
uc003feb.3,ucsc
ENSE00003169475,ensembl_exon_id
ENSE00003503396,ensembl_exon_id
CCDS3477,ccds
E9PSG1,uniprotsptrembl
ENSE00002388549,ensembl_exon_id
ENSE00001904258,ensembl_exon_id
AY099360,embl
AGX89990,protein_id
ENSE00001940307,ensembl_exon_id
uc003ymr.3,ucsc
ENSE00000940142,ensembl_exon_id
ENSE00001777969,ensembl_exon_id
SAP30L-203,hgnc_trans_name
URS0000A7F9AD,rnacentral
HGNC:25516,hgnc_id
AFF2,uniprot_gn_symbol
uc002brq.3,ucsc
BC101508,embl
ENSE00003613967,ensembl_exon_id
NM_181358,refseq_mrna
ENSE00001979265,ensembl_exon_id
uc061bnp.1,ucsc
uc059rfq.1,ucsc
ENSE00003500012,ensembl_exon_id
AAL54786,protein_id
AC019278,embl
uc288lmq.1,ucsc
ENSE00003547620,ensembl_exon_id
ENSE00001770035,ensembl_exon_id
KY091894,embl
URS00008B9B03,rnacentral
NR_126417,refseq_ncrna
AP000694,embl
NM_001351371,refseq_mrna
ENSG00000287298,ensembl_gene_id
ADE80888,protein_id
QBY39502,protein_id
KEL-213,hgnc_trans_name
TTN-AS1-220,hgnc_trans_name
ENSE00001431499,ensembl_exon_id
IFNK-201,hgnc_trans_name
ENSE00003629101,ensembl_exon_id
ENSE00003859300,ensembl_exon_id
EAW59598,protein_id
PRAMEF32P-201,hgnc_trans_name
RNA5SP467-201,hgnc_trans_name
ENSE00003570851,ensembl_exon_id
ENSE00002546662,ensembl_exon_id
AMZ82739,protein_id
AZJ12099,protein_id
ENSE00003051051,ensembl_exon_id
AQU16853,protein_id
ENSE00002540214,ensembl_exon_id
CAD7619366,protein_id
AAA75172,protein_id
ENSG00000257062,ensembl_gene_id
AAH11020,protein_id
URS0000EF3E88,rnacentral
ENSE00003794766,ensembl_exon_id
ENSE00001267425,ensembl_exon_id
CARHSP1-215,hgnc_trans_name
ENSE00003740762,ensembl_exon_id
CCDS53804,ccds
URS0000D30159,rnacentral
BX927229,embl
ENSE00003912817,ensembl_exon_id
ENSE00002194279,ensembl_exon_id
ENSE00003885471,ensembl_exon_id
ENSE00001782951,ensembl_exon_id
ABR99428,protein_id
uc062muv.1,ucsc
ALI88428,protein_id
ABF01662,protein_id
ENSE00002565346,ensembl_exon_id
ENSE00003963399,ensembl_exon_id
ENSE00003542586,ensembl_exon_id
ENSE00002534952,ensembl_exon_id
ENSE00001306828,ensembl_exon_id
ENSE00001885162,ensembl_exon_id
GRHPR-211,hgnc_trans_name
ENSE00002204774,ensembl_exon_id
P20719,uniprotswissprot
AFF92058,protein_id
EIF5-202,hgnc_trans_name
ENSE00002964739,ensembl_exon_id
ENSE00001613692,ensembl_exon_id
AGZ69067,protein_id
ENSE00001853411,ensembl_exon_id
ENSG00000164081,ensembl_gene_id
ATL18709,protein_id
SFI1-213,hgnc_trans_name
uc059zqz.1,ucsc
ENSE00003925478,ensembl_exon_id
NECTIN1-DT-201,hgnc_trans_name
uc031sls.2,ucsc
HGNC:16528,hgnc_id
LINC00710-244,hgnc_trans_name
ENSE00001045295,ensembl_exon_id
uc063adg.2,ucsc
AHW30395,protein_id
TUBB2A-202,hgnc_trans_name
AB051338,embl
ENSE00003891124,ensembl_exon_id
AKB99603,protein_id
UPI000173A6C8,uniparc
ENSE00001919043,ensembl_exon_id
ENSE00003666682,ensembl_exon_id
MN006874,embl
AHW37257,protein_id
AOR45664,protein_id
IPR011629,interpro
uc001skz.4,ucsc
AQY76839,protein_id
ENSE00003574344,ensembl_exon_id
AOR47159,protein_id
F5H3B3,uniprotsptrembl
ENSE00002046362,ensembl_exon_id
ENSE00003187098,ensembl_exon_id
NP_001274359,refseq_peptide
QFX74826,protein_id
ENSE00003488336,ensembl_exon_id
26226,entrezgene_id
ENSE00003710720,ensembl_exon_id
ENSE00003712347,ensembl_exon_id
AOR46519,protein_id
ENSE00003846640,ensembl_exon_id
uc063ogo.1,ucsc
PLTP-202,hgnc_trans_name
ENSE00003517157,ensembl_exon_id
uc059qhd.1,ucsc
ENSE00003721622,ensembl_exon_id
ENSE00003498957,ensembl_exon_id
AID14473,protein_id
ENSG00000117984,ensembl_gene_id
ENSE00003614743,ensembl_exon_id
AGZ77744,protein_id
ENSE00003159390,ensembl_exon_id
AOT81108,protein_id
ENSE00001694443,ensembl_exon_id
ENSE00002875395,ensembl_exon_id
ENSE00003566665,ensembl_exon_id
AFO22777,protein_id
ENSE00002610832,ensembl_exon_id
NP_001340214,refseq_peptide
AQU27056,protein_id
UPI0004E4C9EE,uniparc
uc057fan.1,ucsc
AHC11550,protein_id
ENSE00001949657,ensembl_exon_id
QJX65663,protein_id
NP_004516,refseq_peptide
ENSE00003859548,ensembl_exon_id
UPI000204AE4A,uniparc
ASS21128,protein_id
ENSE00003626625,ensembl_exon_id
ENSE00003773679,ensembl_exon_id
P17936,uniprotswissprot
ENSE00002188665,ensembl_exon_id
ENSE00003572752,ensembl_exon_id
AWD92751,protein_id
ENSG00000271171,ensembl_gene_id
uc285gxt.1,ucsc
uc059eln.1,ucsc
IPR000820,interpro
ENSG00000228952,ensembl_gene_id
ENSE00001930426,ensembl_exon_id
TTYH1-243,hgnc_trans_name
EHF-212,hgnc_trans_name
AGW60515,protein_id
UPI0003F48442,uniparc
PRRT2-218,hgnc_trans_name
ENSE00000720783,ensembl_exon_id
ENSE00001664038,ensembl_exon_id
ENSE00003643893,ensembl_exon_id
CCDS82416,ccds
ENSE00001610122,ensembl_exon_id
HHEX,uniprot_gn_symbol
A6PVI3,uniprotswissprot
QHH25170,protein_id
ENSE00003658836,ensembl_exon_id
ENSE00003859989,ensembl_exon_id
ATP01688,protein_id
HGNC:43564,hgnc_id
NP_001273730,refseq_peptide
uc063jla.1,ucsc
ENSE00002092878,ensembl_exon_id
PTHR13518,hmmpanther
402160,entrezgene_id
AXQ11968,protein_id
BC011979,embl
101927257,entrezgene_id
AFG13768,protein_id
P43694-2,uniprot_isoform
ENSE00001142878,ensembl_exon_id
BCAR4-205,hgnc_trans_name
PTHR12366:SF29,hmmpanther
ENSE00003645081,ensembl_exon_id
EAW78383,protein_id
AEE11863,protein_id
ENSE00003763553,ensembl_exon_id
UPI0001611390,uniparc
NM_001389471,refseq_mrna
ENSE00003481041,ensembl_exon_id
AQU19787,protein_id
NM_001366363,refseq_mrna
ENSE00003795864,ensembl_exon_id
UPI0000140CE0,uniparc
uc062klj.1,ucsc
URS0000131FE8,rnacentral
AYW07845,protein_id
ENSE00003883731,ensembl_exon_id
CHEMBL3856,chembl
ASS28265,protein_id
uc286ihp.1,ucsc
ENSE00000740099,ensembl_exon_id
URS00007701B2,rnacentral
uc057ros.1,ucsc
QFQ00181,protein_id
ENSE00002165949,ensembl_exon_id
ENSE00001791077,ensembl_exon_id
AK301927,embl
PTHR11394:SF27,hmmpanther
CC2D2A-213,hgnc_trans_name
5F3H,pdb
LRIT2,uniprot_gn_symbol
ENSE00001902285,ensembl_exon_id
ENSE00001656018,ensembl_exon_id
uc002bcf.4,ucsc
uc060twm.1,ucsc
URS00008C0AB3,rnacentral
SHH-202,hgnc_trans_name
PTHR10545:SF51,hmmpanther
ENSE00003604908,ensembl_exon_id
uc058pzu.1,ucsc
uc284ptz.2,ucsc
ACU10465,protein_id
ENSG00000175879,ensembl_gene_id
ENSE00001361117,ensembl_exon_id
uc061bzg.1,ucsc
ENSE00003824568,ensembl_exon_id
AFA29236,protein_id
uc003svt.4,ucsc
ENSE00001710507,ensembl_exon_id
ENSE00003892205,ensembl_exon_id
BC018026,embl
ENSG00000264400,ensembl_gene_id
ENSE00003740481,ensembl_exon_id
ENSE00003923910,ensembl_exon_id
POU2F2,wikigene_name
PTHR11442,hmmpanther
ENSE00003621970,ensembl_exon_id
PS51450,pfscan
AFO31892,protein_id
ENSE00003477499,ensembl_exon_id
NP_001378933,refseq_peptide
NM_001007088,refseq_mrna
URS00008B67CA,rnacentral
uc004auj.5,ucsc
URS0000EECF88,rnacentral
AFDN-DT-206,hgnc_trans_name
cd01218,cdd
VRK1-215,hgnc_trans_name
ENSG00000270959,ensembl_gene_id
ENSE00003686331,ensembl_exon_id
URS0000A7FE2A,rnacentral
M12783,embl
ENSE00001910097,ensembl_exon_id
QHH25317,protein_id
ENSG00000249306,ensembl_gene_id
QLH92340,protein_id
AC093538,embl
ENSE00002060437,ensembl_exon_id
PF03957,pfam
NP_663160,refseq_peptide
TEKT1-201,hgnc_trans_name
BAW35276,protein_id
ALD87176,protein_id
ENSE00003918093,ensembl_exon_id
AAH32116,protein_id
uc288mmd.1,ucsc
BC053600,embl
AK296985,embl
AGW73500,protein_id
ENSE00001512311,ensembl_exon_id
ENSE00003465098,ensembl_exon_id
NM_001328674,refseq_mrna
4JZ1,pdb
IPR037709,interpro
URS00008BECC8,rnacentral
AHW33184,protein_id
AFO37119,protein_id
uc058bms.1,ucsc
KIR2DS4-206,hgnc_trans_name
ENSE00003863687,ensembl_exon_id
AF219114,embl
SLC7A11-AS1-205,hgnc_trans_name
AGZ70113,protein_id
TMEM31,uniprot_gn_symbol
APMAP,wikigene_name
ENSE00001671769,ensembl_exon_id
NM_001374330,refseq_mrna
uc285pbw.1,ucsc
AZJ10798,protein_id
MPHOSPH6P1-201,hgnc_trans_name
EAW72693,protein_id
URS00009BA80D,rnacentral
ENSE00003923682,ensembl_exon_id
BC121137,embl
ENSE00001736763,ensembl_exon_id
ENSE00001911178,ensembl_exon_id
ALQ79744,protein_id
ENSE00003892506,ensembl_exon_id
ENSE00002075385,ensembl_exon_id
TRIM25-207,hgnc_trans_name
AAG22846,protein_id
uc063iht.1,ucsc
4FRW,pdb
NM_002946,refseq_mrna
AGZ70926,protein_id
AZJ12345,protein_id
AF113215,embl
CAI56762,protein_id
ENSE00001168840,ensembl_exon_id
CCP110-206,hgnc_trans_name
CCDS12336,ccds
ASC47120,protein_id
ENSE00003806382,ensembl_exon_id
uc058eeq.1,ucsc
uc287quu.1,ucsc
ENSE00003644614,ensembl_exon_id
uc062hyy.1,ucsc
ENSE00002366254,ensembl_exon_id
QLH91863,protein_id
ENSE00003757554,ensembl_exon_id
ENSE00003475129,ensembl_exon_id
4XX9,pdb
BAB85477,protein_id
uc285oef.1,ucsc
ENSG00000235818,ensembl_gene_id
ENSE00001903828,ensembl_exon_id
uc287ery.1,ucsc
UPI00025A2F13,uniparc
RAB34-203,hgnc_trans_name
ENSE00002432912,ensembl_exon_id
AF048755,embl
uc058hyd.1,ucsc
APD53970,protein_id
AUT78710,protein_id
ENSE00001787509,ensembl_exon_id
ENSE00001444311,ensembl_exon_id
AID11569,protein_id
uc003kwx.5,ucsc
uc064uro.1,ucsc
CCDS46125,ccds
PTHR34755,hmmpanther
BC053666,embl
ENSE00001278528,ensembl_exon_id
RECQL4-203,hgnc_trans_name
ENSE00003788254,ensembl_exon_id
A0A0G2JNR6,uniprotsptrembl
AFO25400,protein_id
HGNC:15084,hgnc_id
A0A286YFB6,uniprotsptrembl
URS00003CCC89,rnacentral
AHW32300,protein_id
AFG10543,protein_id
ENSE00003809959,ensembl_exon_id
ENSE00001791373,ensembl_exon_id
CAD28466,protein_id
Q9NR83-1,uniprot_isoform
ENSE00003648364,ensembl_exon_id
PTHR45619:SF50,hmmpanther
AYW04395,protein_id
ENSE00002025346,ensembl_exon_id
URS00008BE5B2,rnacentral
ENSE00002509064,ensembl_exon_id
PTHR10529:SF342,hmmpanther
MIR4435-2HG-306,hgnc_trans_name
ENSE00002830193,ensembl_exon_id
ASR13096,protein_id
URS0000EEDC0F,rnacentral
ENSE00001918025,ensembl_exon_id
AFG12989,protein_id
Q99661-2,uniprot_isoform
CCDC14-205,hgnc_trans_name
ASR12970,protein_id
ENSE00001703913,ensembl_exon_id
EAX04992,protein_id
ENSE00001836811,ensembl_exon_id
TNFRSF25-212,hgnc_trans_name
ENSE00001612020,ensembl_exon_id
uc057mzl.1,ucsc
M0R3E8,uniprotsptrembl
10880,entrezgene_id
ENSE00003708059,ensembl_exon_id
AJ277591,embl
ENSE00001892503,ensembl_exon_id
CCDS76617,ccds
HGNC:15690,hgnc_id
ENSE00003561207,ensembl_exon_id
uc287lrw.1,ucsc
uc287rhl.1,ucsc
PBX2-228,hgnc_trans_name
AHW33874,protein_id
ADY74773,protein_id
ENSE00000960030,ensembl_exon_id
NM_001348531,refseq_mrna
AYW10415,protein_id
ZNF573,uniprot_gn_symbol
ENSE00003635696,ensembl_exon_id
UPI0002B832A4,uniparc
ENSE00001078619,ensembl_exon_id
uc287zsb.1,ucsc
HGNC:21537,hgnc_id
URS00006275E2,rnacentral
uc003yat.2,ucsc
ENSE00003586913,ensembl_exon_id
ENSE00002909504,ensembl_exon_id
AHX54413,protein_id
ENSE00003857790,ensembl_exon_id
CCDS34930,ccds
AAI48267,protein_id
ENSE00003612030,ensembl_exon_id
EAW84790,protein_id
NM_001258411,refseq_mrna
ENSE00003668902,ensembl_exon_id
AQU25950,protein_id
ENSE00003730316,ensembl_exon_id
AL928898,embl
RALGPS1-210,hgnc_trans_name
ENSE00003503057,ensembl_exon_id
ENSE00003658574,ensembl_exon_id
INCA1-205,hgnc_trans_name
AAH25256,protein_id
AQU25991,protein_id
ENSE00000929662,ensembl_exon_id
uc060eof.1,ucsc
MF057768,embl
AJ491324,embl
AAH06285,protein_id
NM_001290354,refseq_mrna
A0A1W2PPP5,uniprotsptrembl
ENSE00003779109,ensembl_exon_id
uc063qhp.1,ucsc
NBEA-248,hgnc_trans_name
uc059ovc.1,ucsc
NR_171378,refseq_ncrna
ENSE00002121781,ensembl_exon_id
A0A0S2Z6F0,uniprotsptrembl
AIL91718,protein_id
ENSE00001788234,ensembl_exon_id
ENSE00001919545,ensembl_exon_id
Q02952-1,uniprot_isoform
HGNC:40943,hgnc_id
AGJ96276,protein_id
AC068359,embl
M0QY15,uniprotsptrembl
LINC02052,wikigene_name
ENSG00000236080,ensembl_gene_id
ENSE00001832965,ensembl_exon_id
ENSE00003781509,ensembl_exon_id
uc063pqu.1,ucsc
ENSE00001761589,ensembl_exon_id
NR_138606,refseq_ncrna
ENSE00003647559,ensembl_exon_id
NP_001350304,refseq_peptide
AQU41356,protein_id
IPR013974,interpro
AUZ23047,protein_id
UPI000006225F,uniparc
ASS14458,protein_id
PS00579,scanprosite
ENSE00003581589,ensembl_exon_id
AK000008,embl
NDRG1-222,hgnc_trans_name
ENSE00002619942,ensembl_exon_id
STC2-203,hgnc_trans_name
SM00750,smart
AK091331,embl
ENSE00002510456,ensembl_exon_id
9491,entrezgene_id
AFF94606,protein_id
ENSG00000179994,ensembl_gene_id
ENSE00003869410,ensembl_exon_id
ENSE00003579124,ensembl_exon_id
NM_006685,refseq_mrna
LINC02762-205,hgnc_trans_name
ENSE00001926197,ensembl_exon_id
URS00008B5DEF,rnacentral
AL117417,embl
uc285xps.1,ucsc
AUR41541,protein_id
SSX4B,wikigene_name
ENSE00002427119,ensembl_exon_id
ENSG00000110900,ensembl_gene_id
ABN88597,protein_id
AFF64674,protein_id
HGNC:39612,hgnc_id
ENSE00001904348,ensembl_exon_id
ENSG00000272969,ensembl_gene_id
ENSE00002041663,ensembl_exon_id
ENSE00003222658,ensembl_exon_id
ATL20156,protein_id
HQ317423,embl
DB452437,embl
UPI000000D7CF,uniparc
AOW71648,protein_id
ENSE00002243702,ensembl_exon_id
AF047192,embl
AC005162,embl
LOC100506790,wikigene_name
AHC11175,protein_id
URS0000EEAED3,rnacentral
MAST4-209,hgnc_trans_name
AFG00588,protein_id
AQU41922,protein_id
MRPS27-210,hgnc_trans_name
A0A7I2V5F7,uniprotsptrembl
ENSE00003841966,ensembl_exon_id
AUG82926,protein_id
ENSE00001919337,ensembl_exon_id
uc060dyp.1,ucsc
ENSE00002158540,ensembl_exon_id
ENSE00002395055,ensembl_exon_id
BC014991,embl
AQU41407,protein_id
MPV17,wikigene_name
ENSE00001787472,ensembl_exon_id
PTHR13315:SF0,hmmpanther
AK096030,embl
ADP91970,protein_id
AF024689,embl
PR01001,prints
HGNC:38453,hgnc_id
PTHR11537:SF38,hmmpanther
UPI00194BAFF2,uniparc
ENSE00002538314,ensembl_exon_id
ENSE00003765820,ensembl_exon_id
ENSE00003469403,ensembl_exon_id
4ED1,pdb
NP_001230461,refseq_peptide
ENSE00003543551,ensembl_exon_id
ENSG00000185559,ensembl_gene_id
ENSE00003514377,ensembl_exon_id
BAH12221,protein_id
ZNF219-209,hgnc_trans_name
uc286rwd.1,ucsc
ENSE00003706467,ensembl_exon_id
ENSE00003634205,ensembl_exon_id
ENSE00003480056,ensembl_exon_id
AF073497,embl
G3V580,uniprotsptrembl
ENSE00003728098,ensembl_exon_id
ENSE00003931403,ensembl_exon_id
ENSE00003555462,ensembl_exon_id
P15529-3,uniprot_isoform
uc285sbx.1,ucsc
BAG37939,protein_id
5T37,pdb
E7EVM8,uniprotsptrembl
METTL18-201,hgnc_trans_name
KF540730,embl
ENSE00002301603,ensembl_exon_id
EFCAB3,uniprot_gn_symbol
ENSE00001844059,ensembl_exon_id
NM_001202464,refseq_mrna
ENSE00001970124,ensembl_exon_id
AGW59338,protein_id
ENSE00001556523,ensembl_exon_id
NP_061004,refseq_peptide
EAW90846,protein_id
AGZ70223,protein_id
ENSG00000275464,ensembl_gene_id
ENSE00003546677,ensembl_exon_id
ENSE00003680648,ensembl_exon_id
ENSE00003759328,ensembl_exon_id
ENSE00003746281,ensembl_exon_id
PF17035,pfam
ENSE00002706469,ensembl_exon_id
AK024073,embl
QBA19563,protein_id
CR456500,embl
UPI00025A2BD8,uniparc
ENSE00002512650,ensembl_exon_id
S83200,embl
HQ206212,embl
ENSE00001885464,ensembl_exon_id
ASS13218,protein_id
AGZ76949,protein_id
uc057sqw.1,ucsc
B4GALT1-AS1-202,hgnc_trans_name
AFO23234,protein_id
ENSG00000142973,ensembl_gene_id
HGNC:42998,hgnc_id
uc286vtu.1,ucsc
ENSE00001512765,ensembl_exon_id
IPR033043,interpro
ENSE00003732443,ensembl_exon_id
uc003dko.5,ucsc
AL928603,embl
AAI14470,protein_id
ENSE00003695475,ensembl_exon_id
uc287aly.1,ucsc
ENSE00003749463,ensembl_exon_id
BC005218,embl
ENSE00003542386,ensembl_exon_id
CCDS8910,ccds
ENSE00003564158,ensembl_exon_id
AF315506,embl
uc001von.5,ucsc
ENSE00003671990,ensembl_exon_id
PROSER3-206,hgnc_trans_name
ENSE00001746773,ensembl_exon_id
ENSE00001829751,ensembl_exon_id
ENSE00002729592,ensembl_exon_id
AOR49191,protein_id
AHW33778,protein_id
EAW86704,protein_id
ENSE00001893884,ensembl_exon_id
AFF77668,protein_id
ENSE00003858014,ensembl_exon_id
ENSE00003490103,ensembl_exon_id
Q2PZI1-1,uniprot_isoform
NP_001354459,refseq_peptide
uc060syk.2,ucsc
EAX08837,protein_id
ENSG00000138821,ensembl_gene_id
uc288ibm.1,ucsc
ENSE00001882616,ensembl_exon_id
ENSE00001736064,ensembl_exon_id
ENSE00002848931,ensembl_exon_id
ENSE00003824241,ensembl_exon_id
NLRP7-227,hgnc_trans_name
AAB26819,protein_id
uc286sry.1,ucsc
ENSE00003835901,ensembl_exon_id
IPR038184,interpro
EMSY-205,hgnc_trans_name
ENSE00003658740,ensembl_exon_id
CCDS56476,ccds
uc002mly.5,ucsc
AGW76900,protein_id
5TYF,pdb
CCDS48059,ccds
M77483,embl
ENSE00003839784,ensembl_exon_id
AF026126,embl
ENSG00000280740,ensembl_gene_id
7D8X,pdb
ENSE00002593437,ensembl_exon_id
JF824838,embl
ENSE00001724156,ensembl_exon_id
LN912953,embl
ENSE00003589992,ensembl_exon_id
uc288hoj.1,ucsc
BC050546,embl
ENSE00003543153,ensembl_exon_id
ENSE00001335350,ensembl_exon_id
ENSE00001230227,ensembl_exon_id
uc063osc.1,ucsc
ARB08410,protein_id
ENSE00001911851,ensembl_exon_id
UPI0000E59DCE,uniparc
ENSE00003619771,ensembl_exon_id
BAB63336,protein_id
ENSG00000180245,ensembl_gene_id
AHX46680,protein_id
AAY14858,protein_id
uc059bxh.1,ucsc
ENSE00002092071,ensembl_exon_id
ENSE00003771352,ensembl_exon_id
NM_001136485,refseq_mrna
AQU37474,protein_id
ENSE00003780085,ensembl_exon_id
GSTT1-211,hgnc_trans_name
ENSE00003593805,ensembl_exon_id
L34041,embl
AFG10517,protein_id
EAW50116,protein_id
AF534822,embl
GNG5-204,hgnc_trans_name
ENSE00001958612,ensembl_exon_id
uc059lhj.1,ucsc
NR_121669,refseq_ncrna
Q8WZ55,uniprotswissprot
uc061ngg.1,ucsc
ENSE00001522250,ensembl_exon_id
ENSE00003824423,ensembl_exon_id
AAH21981,protein_id
BAC76049,protein_id
AZM32735,protein_id
ENSE00001908546,ensembl_exon_id
57718,entrezgene_id
CCDS59520,ccds
NP_001339564,refseq_peptide
URS000018328F,rnacentral
NM_017806,refseq_mrna
AGW68532,protein_id
ZBTB20-AS5-202,hgnc_trans_name
ENSE00001200039,ensembl_exon_id
ENSE00003773639,ensembl_exon_id
ENSE00000721773,ensembl_exon_id
ENSE00002101495,ensembl_exon_id
ATL19426,protein_id
ENSE00003698991,ensembl_exon_id
ADL31072,protein_id
NP_689464,refseq_peptide
HGNC:9412,hgnc_id
QKT25171,protein_id
NM_001329990,refseq_mrna
ENSE00003664341,ensembl_exon_id
AXF36352,protein_id
ENSG00000132446,ensembl_gene_id
ENSE00001846128,ensembl_exon_id
ENSE00001580876,ensembl_exon_id
KLK3-213,hgnc_trans_name
AFO29983,protein_id
AAI09303,protein_id
ENSE00003683640,ensembl_exon_id
ENSE00003465414,ensembl_exon_id
7531,entrezgene_id
U23430,embl
ENSE00001640198,ensembl_exon_id
URS0000EADCD1,rnacentral
CCDS86609,ccds
ENSE00003645593,ensembl_exon_id
AHE78722,protein_id
ENSE00001731435,ensembl_exon_id
NP_001138987,refseq_peptide
